,state,category,cat_median,cat_25,cat_75,cat_max,cat_min,state_median,state_25,state_75,state_max,state_min,state_cat_median,state_cat_25,state_cat_75,state_cat_max,state_cat_min
196175,QC,Mexican,3.451216287678477,2.9310344827586206,3.9444444444444446,5.0,1.0,3.698214285714286,3.1067251461988303,4.176102941176471,5.0,1.0,3.6282894736842106,2.9891304347826084,4.0,5.0,1.5
196448,QC,French,3.955548274355614,3.4,4.3206962025316455,5.0,1.3333333333333333,3.698214285714286,3.1067251461988303,4.176102941176471,5.0,1.0,4.0,3.44949494949495,4.333333333333333,5.0,1.3333333333333333
196824,QC,German,4.049499443826473,3.577574823943662,4.328125,5.0,3.0,3.698214285714286,3.1067251461988303,4.176102941176471,5.0,1.0,3.8333333333333335,3.75,4.083333333333333,4.333333333333333,3.6666666666666665
196901,QC,Greek,3.625,3.0928683385579934,4.0,5.0,1.3333333333333333,3.698214285714286,3.1067251461988303,4.176102941176471,5.0,1.0,3.6666666666666665,3.2520833333333337,4.1171875,4.833333333333333,1.4
197248,QC,Tex-Mex,3.0,2.430803571428571,3.578518907563025,4.615384615384615,1.0,3.698214285714286,3.1067251461988303,4.176102941176471,5.0,1.0,3.562542720437457,3.0654761904761907,4.03125,4.615384615384615,1.75
197262,QC,Latin American,3.909090909090909,3.5,4.280373831775701,5.0,1.6666666666666667,3.698214285714286,3.1067251461988303,4.176102941176471,5.0,1.0,4.0,3.619047619047619,4.363636363636363,5.0,2.0
197307,QC,Barbeque,3.55,3.013157894736842,4.0,5.0,1.0,3.698214285714286,3.1067251461988303,4.176102941176471,5.0,1.0,3.5714285714285716,2.91969696969697,4.066964285714286,4.888888888888889,1.8888888888888888
199057,WI,Seafood,3.5789473684210527,3.104054054054054,4.0,5.0,1.0,3.4716981132075473,2.888888888888889,3.9671455938697315,5.0,1.0,3.6296296296296298,3.3180592991913747,3.9002439024390245,4.666666666666667,1.0
201807,ON,Diners,3.467741935483871,2.9867724867724865,3.9462585034013604,5.0,1.0,3.3974358974358974,2.875,3.8615384615384616,5.0,1.0,3.4,3.0,3.809090909090909,5.0,1.3181818181818181
216487,NV,Korean,3.6049382716049383,3.2133090694471766,4.0,5.0,1.5384615384615385,3.464720013869282,2.8333333333333335,3.9868831407081267,5.0,1.0,3.991349480968858,3.436416328455648,4.283653846153846,4.689814814814815,1.6666666666666667
219200,IL,Steakhouses,3.4615384615384617,3.0,3.926470588235294,5.0,1.3333333333333333,3.3214285714285716,2.763157894736842,3.75,5.0,1.0,3.083333333333333,2.529166666666667,3.2041008922443375,3.6444444444444444,1.8611111111111112
221370,NC,Chinese,3.3333333333333335,2.888888888888889,3.75,5.0,1.0,3.4,2.7857142857142856,3.8979591836734695,5.0,1.0,3.262931034482759,2.8,3.670212765957447,5.0,1.3333333333333333
221390,NC,Diners,3.467741935483871,2.9867724867724865,3.9462585034013604,5.0,1.0,3.4,2.7857142857142856,3.8979591836734695,5.0,1.0,3.5,2.888888888888889,3.9285714285714284,4.470588235294118,1.0
223972,ON,Middle Eastern,3.713760504201681,3.125,4.182934014139827,5.0,1.0,3.3974358974358974,2.875,3.8615384615384616,5.0,1.0,3.5482695810564664,3.0384615384615383,4.0,5.0,1.0
225356,OH,Sandwiches,3.5,2.8333333333333335,4.0,5.0,1.0,3.462121212121212,2.8,4.0,5.0,1.0,3.4580419580419584,2.7874999999999996,4.038413621262459,5.0,1.0
227770,OH,Breakfast & Brunch,3.608695652173913,3.111111111111111,4.0,5.0,1.2222222222222223,3.462121212121212,2.8,4.0,5.0,1.0,3.6,3.072916666666667,4.0472222222222225,5.0,1.3333333333333333
229198,ON,Barbeque,3.55,3.013157894736842,4.0,5.0,1.0,3.3974358974358974,2.875,3.8615384615384616,5.0,1.0,3.5555555555555554,3.0526315789473686,3.888888888888889,5.0,1.3333333333333333
